id,title,chanel,Total_Minutes,Total_Views,Duration_in_Seconds,video_url,Views_per_Second,Year,Quarter,Month,Day,Calculated_Views,Cluster,ClusterLabel,Decision Path
131,سفر به قشم به زوودی!,دوربین.نت,20160,1100,60,/v/xme51ef,18.33333333333333,2025,Qtr 1,February,21,1100,0,Medium Engagement,2
132,PS5 PRO بخرم یا سیستم ببندم؟,موبونیوز,480,483,326,/v/obyzz3z,1.48159509202454,2025,Qtr 1,March,7,483,0,Medium Engagement,2
133,احمقانه ترین بازی های تاریخ!,موبونیوز,480,149,649,/v/wjmv1j1,0.2295839753466872,2025,Qtr 1,March,7,149,0,Medium Engagement,2
134,بازی های اندرویدی شبیه Red Dead Redemption 2,موبونیوز,5760,424,565,/v/ywq0c9c,0.7504424778761062,2025,Qtr 1,March,3,424,0,Medium Engagement,2
135,بهترین گوشی موبایل تا 15 میلیون تومان,موبونیوز,8640,4600,252,/v/igb63v6,18.253968253968253,2025,Qtr 1,March,1,4600,0,Medium Engagement,2
136,راهنمای خرید بهترین لپ تاپ 20 تا 35 میلیون تومان,موبونیوز,10080,2000,2624,/v/wonu57v,0.7621951219512195,2025,Qtr 1,February,28,2000,0,Medium Engagement,2
137,طرز تهیه ناگت مرغ خونگی خوشمزه و راحت,شکوفه بانو,480,139,155,/v/wtuem14,0.896774193548387,2025,Qtr 1,March,7,139,0,Medium Engagement,2
138,آش رشته تو هوای برفی,شکوفه بانو,10080,2200,71,/v/mie5usc,30.985915492957748,2025,Qtr 1,February,28,2200,0,Medium Engagement,2
139,بهترین روش پخت نان زنجبیلی خوشمزه و راحت,شکوفه بانو,20160,1300,192,/v/yaavd0x,6.770833333333333,2025,Qtr 1,February,21,1300,0,Medium Engagement,2
140,طرز تهیه کوفته سماق کوردی,شکوفه بانو,30240,4100,89,/v/dzc7j05,46.06741573033708,2025,Qtr 1,February,14,4100,0,Medium Engagement,2
141,بهترین روش پخت ناگت مرغ خونگی,شکوفه بانو,40320,3300,57,/v/gbr0177,57.89473684210526,2025,Qtr 1,February,7,3300,0,Medium Engagement,2
142,آموزش ضبط مصاحبه ویدئویی : با کمترین تجهیزات و خیلی فوری,حسام بختیارزاده,20160,2100,342,/v/qra3eko,6.140350877192983,2025,Qtr 1,February,21,2100,0,Medium Engagement,2
143,دنیای پادکسترها: محمد پوررشیدی از پادکست طنزپردازی,حسام بختیارزاده,30240,2000,1636,/v/mge7j2v,1.2224938875305624,2025,Qtr 1,February,14,2000,0,Medium Engagement,2
144,دنیای پادکسترها: فائقه تبریزی از پادکست هیرولیک,حسام بختیارزاده,43200,4800,1269,/v/tvt3661,3.7825059101654848,2025,Qtr 1,February,5,4800,0,Medium Engagement,2
145,بهترین نور برای بلاگرها و بیوتی بلاگرها؟ رینگ لایت یا سافت لایت؟,حسام بختیارزاده,43200,5500,793,/v/kzuks0d,6.935687263556116,2025,Qtr 1,February,5,5500,0,Medium Engagement,2
146,از اون تصمیم ها... مراقب باش ضربه نخوری,حسام بختیارزاده,43200,5700,504,/v/ykl9fi8,11.30952380952381,2025,Qtr 1,February,5,5700,0,Medium Engagement,2
